UniqueID	P0.5 A	P0.5 B	P0.5 C	P1 d	P1 h	P1 i 	P1.5 c	P1.5 d	P1.5 g	P2.5 c	P2.5 g	P2.5 j	P4 a	P4 b	P4 f	P5 a	P5 b	P5 f	P7 a	P7 b	P7 c	P10 d	P10 e	P10 f	P13.5 a	P13.5 b	P13.5 c	P15 a	P15 b	P15 c	P19 c	P19 e	P19 f	P23 d	P23 e	P23 f 	P28c	P28d	P28e
Q6PFR5	4.65	3.74	1.25	4.02	3.61	4.59	0.99	2.64	1.88	4.96	2.19	4.19	3.28	3.07	3.35	2.83	2.06	3.29	3.8	3.31	2.96	3.54	5.93	9.09	4.87	3.62	7.39	4.1	3.61	0.0	0.91	0.0	0.0	1.72	3.01	0.93	2.34	0.0	0.0
Q3TWW8	5.81	6.23	6.26	3.01	7.22	3.44	3.94	6.15	5.64	6.95	6.58	7.32	3.28	6.14	5.03	3.78	8.24	6.57	5.7	6.62	6.91	7.08	8.48	5.45	1.95	8.13	2.77	9.23	4.52	1.74	3.65	7.49	3.71	1.72	0.75	2.8	0.0	3.62	4.35
Q9CYL5	4.65	0.0	7.51	3.01	6.02	8.03	0.0	0.0	1.88	1.99	0.0	5.23	0.0	0.77	3.35	0.94	0.0	0.0	1.9	2.48	0.0	3.54	1.7	0.0	0.97	0.0	2.77	0.0	0.9	0.0	3.65	1.87	1.85	0.86	1.5	0.0	0.0	0.0	0.0
Q9JJH1	0.0	1.25	2.5	0.0	2.41	2.29	1.97	0.0	0.0	0.0	2.19	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	1.98	0.0	0.85	0.91	1.95	2.71	0.92	2.05	0.0	0.0	0.0	0.0	0.0	2.59	3.76	0.0	3.12	2.42	0.0
Q9DCD8	12.78	11.21	15.03	10.04	12.03	10.32	10.85	4.39	7.52	4.96	6.58	3.14	4.11	6.91	4.19	3.78	8.24	4.93	10.45	2.48	1.98	3.54	5.93	7.27	3.9	8.13	6.47	8.2	6.32	0.0	3.65	1.87	10.19	7.76	6.01	8.41	8.57	6.04	9.78
P08207	0.0	0.0	0.0	0.0	0.0	2.29	1.97	1.76	0.94	4.96	0.0	0.0	0.0	0.77	0.84	0.0	3.09	0.82	0.0	1.65	0.0	0.89	0.85	0.91	0.0	0.9	0.0	2.05	2.71	0.0	1.83	0.94	0.0	0.0	0.75	1.87	3.12	0.0	1.09
B2M1R7	12.78	11.21	12.52	11.05	9.62	6.88	8.88	14.93	10.35	10.92	17.56	16.74	10.67	13.05	10.06	13.23	23.68	13.15	8.55	15.71	13.83	15.93	14.41	15.45	12.67	9.04	11.09	17.43	8.13	19.15	11.87	12.17	8.34	6.89	8.27	11.21	2.34	15.7	15.21
P17897	4.65	7.47	10.02	0.0	9.62	9.18	3.94	8.78	12.23	5.96	8.78	4.19	9.85	6.14	0.0	7.56	1.03	6.57	7.6	14.06	0.0	8.85	14.41	3.64	0.0	0.0	9.24	9.23	8.13	50.48	0.0	8.43	3.71	2.59	18.04	11.21	17.15	21.74	19.56
P06467	3.48	4.98	6.26	1.0	0.0	0.0	2.96	0.88	0.94	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9QUM9	6.97	6.23	3.76	5.02	2.41	2.29	2.96	3.51	5.64	2.98	0.0	2.09	4.93	4.6	0.84	3.78	5.15	5.75	3.8	7.44	7.9	8.85	5.93	10.0	6.82	12.65	9.24	9.23	6.32	0.0	2.74	4.68	3.71	4.31	3.01	8.41	2.34	6.04	10.86
Q8CGC7	6.97	7.47	1.25	3.01	1.2	2.29	3.94	4.39	3.76	6.95	0.0	1.05	6.57	8.44	4.19	6.61	0.0	4.11	0.0	0.83	4.94	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q3U3F6	2.32	3.74	3.76	0.0	3.61	3.44	0.0	2.64	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P01887	0.0	0.0	2.5	0.0	1.2	0.0	0.0	2.64	0.0	0.99	3.29	0.0	2.46	0.77	0.0	0.0	2.06	0.0	0.0	3.31	0.0	0.89	2.54	5.45	0.0	1.81	3.7	1.03	0.9	10.44	0.91	1.87	0.0	5.17	4.51	0.0	3.9	8.45	7.6
Q9JM76	2.32	2.49	1.25	2.01	2.41	0.0	1.97	0.0	1.88	0.99	2.19	4.19	0.0	3.07	5.87	3.78	3.09	0.82	4.75	1.65	1.98	4.43	5.09	1.82	3.9	7.23	4.62	4.1	4.52	0.0	3.65	5.62	4.63	3.45	4.51	1.87	1.56	0.0	0.0
P63330	10.45	3.74	11.27	13.06	4.81	9.18	5.92	5.27	6.58	7.94	3.29	7.32	4.11	6.91	12.57	4.72	8.24	6.57	8.55	11.58	4.94	8.85	4.24	7.27	7.8	9.04	10.16	4.1	11.74	0.0	10.96	8.43	10.19	12.07	7.52	12.14	3.9	0.0	0.0
A1A4T2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	0.0	0.0	1.64	0.77	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O35737	13.94	16.19	15.03	16.07	22.86	21.79	8.88	21.96	10.35	16.87	9.88	23.02	22.17	19.18	21.79	20.79	14.42	10.68	11.41	19.02	6.91	17.7	12.71	20.91	21.44	17.17	20.33	23.59	15.35	0.0	10.04	12.17	22.24	9.48	12.03	9.34	10.13	0.0	4.35
B9EIV0	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.88	0.94	0.0	0.0	2.09	0.0	0.77	0.0	1.89	0.0	0.0	0.0	0.83	0.99	2.66	1.7	1.82	3.9	1.81	1.85	6.15	0.0	0.0	0.91	1.87	0.0	0.0	3.01	0.0	0.78	0.0	0.0
E9Q0F0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.99	0.0	4.19	4.11	0.77	0.0	4.72	0.0	0.82	0.95	0.0	0.0	2.66	0.85	4.55	7.8	2.71	3.7	3.08	2.71	0.0	0.91	3.74	5.56	6.03	2.25	8.41	1.56	7.25	3.26
Q9CQL1	1.16	4.98	0.0	1.0	1.2	3.44	1.97	0.88	3.76	3.97	3.29	1.05	0.82	0.0	0.84	0.94	3.09	3.29	1.9	3.31	0.0	0.89	4.24	0.0	2.92	1.81	3.7	0.0	0.0	0.0	0.0	0.0	0.93	1.72	0.0	0.0	0.0	1.21	0.0
P26369	0.0	1.25	2.5	3.01	2.41	5.74	2.96	3.51	0.94	4.96	2.19	9.42	0.82	1.53	5.03	3.78	2.06	0.0	3.8	2.48	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	1.83	1.87	3.71	0.0	1.5	1.87	0.0	0.0	0.0
P11031	11.62	7.47	6.26	11.05	10.83	3.44	6.9	10.54	12.23	10.92	6.58	3.14	7.39	5.37	8.38	0.94	2.06	2.46	2.85	4.13	0.0	3.54	5.09	1.82	6.82	0.9	2.77	1.03	0.9	3.48	2.74	0.0	0.93	1.72	3.01	4.67	5.46	4.83	6.52
P39061	1.16	2.49	3.76	2.01	2.41	6.88	4.93	3.51	4.7	3.97	4.39	4.19	6.57	4.6	3.35	3.78	5.15	2.46	4.75	0.0	0.0	3.54	4.24	1.82	2.92	2.71	4.62	2.05	2.71	1.74	6.39	0.94	1.85	2.59	2.25	3.74	6.24	8.45	8.69
O88569	45.3	39.85	35.06	16.07	30.08	27.53	33.53	36.02	40.44	30.77	32.92	35.57	27.92	23.79	26.82	27.4	23.68	36.15	9.5	33.08	29.64	42.48	50.85	30.91	21.44	32.54	23.1	28.72	37.02	67.88	34.7	29.02	45.41	44.81	30.06	30.82	41.32	28.98	29.33
P50752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0
Q62188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.06	10.35	0.0	0.0	0.0	17.24	15.35	0.0	0.0	17.5	11.5	14.26	0.0	12.84	0.0	11.02	14.54	21.44	19.89	24.02	14.36	11.74	0.0	11.87	14.04	12.97	12.07	12.03	15.88	0.0	0.0	0.0
Q62189	4.65	6.23	8.77	6.03	4.81	3.44	5.92	7.03	6.58	5.96	5.49	2.09	9.85	6.91	5.87	6.61	5.15	5.75	7.6	4.13	4.94	3.54	11.87	7.27	10.72	8.13	9.24	2.05	0.9	0.0	4.57	4.68	2.78	2.59	3.76	0.0	3.12	4.83	3.26
O08585	4.65	0.0	2.5	0.0	1.2	1.15	2.96	0.88	1.88	0.99	0.0	1.05	0.82	0.0	1.68	0.0	0.0	0.0	0.95	2.48	3.95	6.2	0.0	0.91	4.87	0.9	1.85	5.13	1.81	0.0	0.91	1.87	0.0	0.86	0.75	5.6	1.56	2.42	1.09
O08583	0.0	0.0	2.5	1.0	0.0	0.0	0.0	0.88	4.7	0.0	0.0	2.09	0.0	0.77	6.71	5.67	2.06	7.39	11.41	9.1	8.89	0.89	5.09	3.64	4.87	1.81	1.85	0.0	1.81	1.74	5.48	0.0	8.34	0.0	4.51	8.41	9.35	0.0	7.6
Q9JJK2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P70122	2.32	0.0	3.76	0.0	0.0	5.74	2.96	5.27	3.76	0.0	4.39	1.05	1.64	1.53	0.84	1.89	2.06	0.82	0.95	0.0	0.99	0.0	3.39	0.0	0.0	0.0	0.0	0.0	1.81	0.0	2.74	5.62	2.78	4.31	0.75	0.0	0.78	0.0	0.0
Q8BXK9	13.94	18.68	18.78	15.07	27.67	27.53	12.82	10.54	18.81	24.81	26.34	17.79	9.03	16.11	8.38	11.34	21.62	11.5	12.36	14.88	22.72	24.78	14.41	28.18	29.23	35.25	33.26	40.0	30.7	29.59	35.61	38.38	39.85	34.47	37.58	38.3	47.55	37.44	45.63
Q62186	0.0	1.25	2.5	0.0	2.41	0.0	0.0	5.27	1.88	0.0	0.0	0.0	2.46	2.3	0.0	0.0	0.0	4.11	0.0	0.0	0.0	0.89	1.7	0.0	1.95	0.9	1.85	1.03	0.0	0.0	3.65	1.87	4.63	0.0	2.25	0.93	0.0	0.0	0.0
Q9R1P3	3.48	3.74	0.0	4.02	4.81	5.74	0.0	4.39	5.64	0.99	0.0	0.0	3.28	3.07	2.51	0.0	4.12	7.39	3.8	0.83	3.95	4.43	3.39	3.64	3.9	5.42	3.7	4.1	3.61	0.0	4.57	0.0	3.71	0.0	3.01	0.0	3.12	0.0	0.0
Q8BHG9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	1.77	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0
P10649	1.16	0.0	0.0	0.0	1.2	1.15	4.93	0.88	0.0	0.0	0.0	0.0	1.64	0.77	1.68	1.89	0.0	0.0	1.9	1.65	0.0	0.0	0.0	0.0	0.0	1.81	3.7	1.03	0.9	0.0	3.65	0.94	1.85	0.86	2.25	3.74	2.34	6.04	7.6
P62075	8.13	4.98	3.76	4.02	6.02	4.59	2.96	3.51	3.76	6.95	4.39	4.19	3.28	3.07	3.35	2.83	6.18	3.29	3.8	4.96	3.95	3.54	3.39	5.45	3.9	3.62	3.7	4.1	4.52	0.0	3.65	2.81	2.78	2.59	3.01	6.54	3.12	0.0	4.35
Q148T0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	3.35	0.0	0.0	3.29	0.0	2.48	1.98	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0
P39447	9.29	21.17	11.27	23.1	13.23	16.06	18.74	22.84	16.93	27.79	13.17	27.2	16.42	17.65	15.93	35.91	12.36	9.04	15.21	10.75	1.98	15.05	8.48	11.82	27.28	15.37	21.25	21.54	11.74	3.48	9.13	17.79	13.9	6.89	9.02	12.14	6.24	2.42	18.47
O70475	16.26	17.44	15.03	17.07	14.44	9.18	11.83	14.06	15.99	5.96	10.97	11.51	15.6	13.81	12.57	12.28	13.39	9.86	9.5	14.06	8.89	4.43	7.63	7.27	6.82	7.23	7.39	2.05	6.32	0.0	0.0	0.94	3.71	3.45	1.5	1.87	3.12	0.0	0.0
Q8R2K3	8.13	7.47	7.51	6.03	7.22	4.59	3.94	9.66	1.88	2.98	1.1	2.09	4.11	5.37	0.84	0.94	0.0	9.86	0.0	4.96	1.98	5.31	6.78	7.27	0.97	3.62	7.39	9.23	2.71	0.0	7.3	4.68	0.93	5.17	5.26	0.0	2.34	0.0	2.17
C5H0E8	19.75	4.98	5.01	10.04	16.84	12.62	11.83	13.18	15.99	8.93	10.97	4.19	13.96	12.28	21.79	11.34	8.24	13.97	14.26	13.23	12.84	17.7	16.1	22.73	10.72	28.02	26.79	25.64	24.38	12.18	27.39	26.21	31.51	33.61	25.55	28.96	26.5	20.53	22.81
O08663	8.13	11.21	8.77	17.07	3.61	9.18	9.86	18.45	14.11	6.95	9.88	12.56	10.67	18.42	15.09	17.01	15.44	12.32	14.26	18.19	18.77	10.62	11.02	26.36	13.64	8.13	12.01	9.23	9.93	5.22	6.39	5.62	11.12	3.45	4.51	3.74	14.03	2.42	6.52
Q9R069	13.94	18.68	22.54	13.06	4.81	5.74	5.92	10.54	13.17	8.93	15.36	13.6	11.5	10.74	10.9	11.34	13.39	4.11	10.45	11.58	8.89	10.62	5.93	12.73	21.44	15.37	15.71	11.28	12.64	0.0	20.09	15.91	21.31	12.07	14.28	15.88	11.69	16.91	19.56
Q9D3D9	1.16	2.49	5.01	2.01	2.41	2.29	2.96	0.88	1.88	0.0	4.39	1.05	1.64	0.0	0.84	3.78	4.12	0.0	0.0	1.65	1.98	2.66	4.24	0.0	3.9	1.81	3.7	4.1	0.0	8.7	1.83	0.0	3.71	2.59	1.5	1.87	3.12	4.83	2.17
Q06185	2.32	0.0	3.76	2.01	0.0	0.0	0.0	2.64	1.88	3.97	0.0	2.09	2.46	0.0	0.0	0.94	0.0	0.0	0.0	0.83	0.0	0.0	0.0	1.82	0.0	0.0	2.77	2.05	0.9	0.0	0.0	0.94	0.0	0.0	2.25	3.74	0.0	2.42	4.35
A2ASQ1	4.65	3.74	2.5	6.03	1.2	0.0	0.0	0.0	0.0	1.99	0.0	1.05	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.91	0.0	0.0	1.85	0.0	0.9	0.0	3.65	3.74	2.78	5.17	2.25	0.93	3.12	1.21	2.17
Q9R062	0.0	0.0	0.0	2.01	0.0	1.15	0.0	0.0	0.0	1.99	5.49	0.0	0.0	1.53	0.84	0.0	0.0	0.0	3.8	1.65	1.98	0.89	0.0	0.91	0.0	1.81	2.77	0.0	1.81	0.0	0.0	2.81	3.71	0.0	3.01	2.8	0.78	0.0	0.0
Q64152	3.48	0.0	1.25	4.02	0.0	2.29	0.99	4.39	2.82	1.99	2.19	1.05	4.93	6.14	5.03	2.83	1.03	6.57	2.85	3.31	3.95	3.54	6.78	6.36	1.95	4.52	5.54	2.05	6.32	0.0	4.57	3.74	7.41	6.03	5.26	3.74	4.68	1.21	4.35
P62748	16.26	18.68	18.78	10.04	12.03	10.32	11.83	3.51	10.35	13.9	6.58	18.83	4.11	8.44	6.71	10.39	8.24	4.93	1.9	14.06	7.9	16.82	9.32	20.91	12.67	18.98	24.95	22.56	22.58	10.44	20.09	13.11	12.05	14.65	21.04	18.68	18.71	10.87	11.95
P35456	0.0	0.0	1.25	1.0	2.41	2.29	0.0	0.0	0.94	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0
Q9D1G1	10.45	7.47	7.51	19.08	18.05	18.35	8.88	16.69	13.17	9.93	7.68	9.42	18.06	24.56	11.73	5.67	16.47	22.18	12.36	14.06	17.78	9.74	16.1	9.09	7.8	12.65	12.01	11.28	18.96	24.37	21.0	13.11	13.9	13.79	18.04	20.55	11.69	14.49	21.73
P63005	4.65	0.0	0.0	0.0	4.81	3.44	4.93	5.27	0.94	2.98	7.68	2.09	3.28	2.3	0.0	5.67	6.18	4.93	0.95	6.62	1.98	9.74	1.7	6.36	9.74	9.04	7.39	2.05	6.32	1.74	7.3	3.74	4.63	2.59	1.5	2.8	1.56	0.0	0.0
Q9CQE1	0.0	0.0	0.0	0.0	0.0	0.0	1.97	2.64	1.88	0.0	0.0	1.05	3.28	3.07	3.35	1.89	0.0	3.29	0.0	1.65	3.95	1.77	5.09	2.73	0.0	3.62	2.77	0.0	1.81	0.0	2.74	2.81	1.85	1.72	3.01	0.0	3.12	0.0	0.0
P13597	0.0	2.49	2.5	7.03	2.41	3.44	1.97	0.88	0.0	0.99	2.19	0.0	1.64	4.6	0.0	0.0	0.0	1.64	3.8	0.83	0.0	3.54	0.85	2.73	7.8	9.04	9.24	12.31	4.52	0.0	13.7	7.49	9.27	6.89	16.53	5.6	12.47	9.66	8.69
Q8BK67	1.16	0.0	0.0	1.0	2.41	3.44	1.97	5.27	1.88	0.0	3.29	2.09	3.28	5.37	9.22	7.56	3.09	3.29	2.85	2.48	2.96	1.77	0.85	0.0	1.95	0.9	2.77	3.08	3.61	0.0	0.0	0.0	0.93	1.72	0.0	0.0	0.78	0.0	0.0
Q3U0B3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	1.87	0.93	4.31	0.0	1.87	0.0	0.0	0.0
Q5SXR6	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	0.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	3.08	0.0	0.0	0.91	0.0	0.0	0.86	0.0	0.93	0.0	0.0	0.0
O09043	0.0	6.23	2.5	3.01	0.0	1.15	2.96	0.0	1.88	0.99	1.1	0.0	4.11	3.07	0.0	0.0	0.0	1.64	1.9	2.48	2.96	0.0	3.39	1.82	0.0	4.52	1.85	2.05	0.9	0.0	3.65	4.68	7.41	5.17	2.25	1.87	2.34	0.0	2.17
Q9ERE7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.77	7.54	1.89	5.15	0.0	0.0	1.65	1.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.0	0.0
P70670	19.75	14.95	12.52	18.08	16.84	16.06	15.78	14.93	19.75	18.86	14.27	16.74	19.71	20.72	24.31	22.68	18.53	19.72	19.96	14.06	18.77	15.93	11.87	12.73	15.59	13.56	18.48	16.41	11.74	33.07	16.44	14.04	12.97	13.79	16.53	14.01	10.13	9.66	2.17
P17751	6.97	8.72	2.5	10.04	4.81	4.59	7.89	6.15	2.82	6.95	4.39	4.19	7.39	1.53	6.71	0.94	3.09	3.29	2.85	3.31	0.0	0.0	1.7	0.0	0.0	1.81	4.62	0.0	1.81	1.74	0.0	2.81	0.0	1.72	0.0	0.0	6.24	0.0	0.0
Q9WV54	34.84	27.4	28.8	17.07	26.47	25.23	19.72	15.81	19.75	21.84	26.34	24.07	12.32	13.81	14.25	17.95	19.56	17.25	12.36	15.71	14.82	10.62	17.8	20.91	12.67	19.89	17.55	19.49	18.96	10.44	25.57	22.47	13.9	17.24	23.3	15.88	17.93	21.74	26.07
P70677	1.16	1.25	0.0	3.01	0.0	5.74	5.92	2.64	4.7	1.99	1.1	0.0	0.0	5.37	5.87	2.83	0.0	7.39	0.95	3.31	4.94	3.54	3.39	6.36	0.97	1.81	1.85	1.03	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.78	0.0	0.0
O55022	2.32	3.74	1.25	2.01	2.41	2.29	1.97	1.76	1.88	2.98	0.0	4.19	2.46	0.0	0.84	1.89	4.12	4.11	2.85	2.48	0.0	5.31	1.7	0.91	2.92	3.62	3.7	2.05	3.61	0.0	5.48	2.81	3.71	1.72	3.76	0.0	3.9	0.0	4.35
P19001	15.1	13.7	10.02	12.05	3.61	1.15	1.97	0.0	5.64	6.95	4.39	13.6	0.0	1.53	0.0	6.61	0.0	0.0	3.8	4.13	2.96	0.89	0.85	6.36	8.77	8.13	10.16	14.36	0.0	0.0	1.83	0.0	4.63	2.59	3.76	0.0	1.56	8.45	4.35
Q99LC2	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	1.98	0.89	0.85	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B1ARA5	1.16	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.79	3.95	1.77	4.24	0.0	0.97	0.0	0.0	1.03	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	1.56	0.0	2.17
Q91W59	1.16	6.23	3.76	2.01	1.2	3.44	1.97	3.51	0.94	1.99	4.39	5.23	1.64	0.77	2.51	1.89	6.18	3.29	1.9	3.31	3.95	2.66	0.0	0.91	3.9	2.71	2.77	2.05	1.81	0.0	0.0	0.0	0.0	0.0	0.75	0.93	0.0	0.0	0.0
Q8VDX8	3.48	2.49	1.25	0.0	2.41	1.15	0.99	1.76	0.0	0.99	1.1	0.0	4.93	6.91	0.84	1.89	0.0	4.93	0.0	0.0	0.99	1.77	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P37804	9.29	6.23	5.01	10.04	20.45	11.47	13.81	10.54	9.4	10.92	6.58	4.19	2.46	8.44	15.93	16.06	21.62	8.22	16.16	16.54	23.71	10.62	11.87	7.27	8.77	9.04	10.16	9.23	8.13	0.0	14.61	7.49	7.41	1.72	3.76	15.88	5.46	15.7	16.3
P21107	52.27	42.34	36.31	68.3	55.34	48.17	55.22	45.68	54.55	54.59	69.13	65.92	41.87	54.48	69.57	55.75	53.54	52.58	53.22	43.83	0.0	56.64	41.53	44.54	59.44	46.1	49.89	41.02	50.57	90.51	51.13	64.59	39.85	57.74	58.62	66.32	62.36	99.02	63.01
Q9D7S9	2.32	4.98	2.5	8.04	8.42	8.03	4.93	7.03	6.58	6.95	7.68	11.51	5.75	8.44	7.54	7.56	4.12	5.75	4.75	6.62	1.98	5.31	12.71	10.91	6.82	9.04	11.09	10.26	9.03	0.0	10.04	9.36	12.05	6.89	13.53	9.34	11.69	1.21	2.17
Q6NZD2	0.0	3.74	1.25	0.0	0.0	0.0	2.96	2.64	2.82	0.99	0.0	0.0	1.64	1.53	2.51	0.94	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H7BWX9	4.65	4.98	6.26	2.01	9.62	6.88	1.97	0.0	3.76	1.99	0.0	0.0	0.0	0.77	0.84	0.0	1.03	1.64	5.7	2.48	1.98	1.77	1.7	1.82	1.95	0.0	0.0	3.08	0.0	3.48	2.74	0.0	0.0	2.59	0.0	0.0	0.0	0.0	0.0
Q62059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.93	6.14	4.19	5.67	1.03	2.46	0.95	9.92	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P63038	8.13	11.21	3.76	18.08	8.42	10.32	4.93	5.27	4.7	5.96	3.29	12.56	4.11	3.84	5.87	10.39	11.33	6.57	5.7	5.79	7.9	6.2	7.63	7.27	11.69	5.42	10.16	9.23	0.9	0.0	4.57	0.94	3.71	1.72	0.75	2.8	1.56	1.21	0.0
P05977	0.0	0.0	0.0	11.05	0.0	2.29	2.96	0.0	0.0	1.99	3.29	0.0	7.39	1.53	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.41	0.0	8.45	3.26
Q9D6S7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.51	0.94	0.0	0.0	0.0	0.82	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P63321	13.94	6.23	22.54	7.03	19.25	16.06	15.78	7.03	15.99	11.91	17.56	14.65	5.75	11.51	12.57	8.5	6.18	10.68	7.6	18.19	16.79	12.39	15.26	15.45	11.69	17.17	14.78	22.56	20.77	8.7	18.26	14.98	21.31	13.79	17.29	10.27	25.72	15.7	18.47
Q8BP43	69.69	69.74	61.36	94.41	80.61	80.29	79.88	83.46	72.41	78.41	103.15	0.0	63.22	75.2	74.6	56.7	66.93	64.08	67.48	71.94	79.03	81.43	0.0	58.18	0.0	54.23	48.97	36.92	46.96	0.0	62.09	69.27	0.0	71.53	60.88	72.85	67.04	120.76	74.96
P17742	38.33	36.12	46.33	18.08	44.51	47.03	52.26	48.32	36.68	32.75	44.99	24.07	40.23	20.72	37.72	38.74	33.98	50.94	32.31	28.94	33.59	30.09	36.45	25.45	32.16	20.79	37.88	38.97	30.7	33.07	21.0	34.64	32.43	24.99	30.81	32.69	19.49	38.64	31.51
Q8BP47	0.0	0.0	0.0	0.0	0.0	0.0	1.97	1.76	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.82	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q5RKN9	5.81	3.74	6.26	6.03	6.02	9.18	8.88	5.27	4.7	4.96	4.39	3.14	2.46	10.74	5.03	4.72	4.12	4.11	9.5	8.27	3.95	11.51	10.17	9.09	3.9	9.94	9.24	12.31	12.64	1.74	11.87	12.17	15.75	9.48	9.77	7.47	4.68	0.0	0.0
P63037	5.81	6.23	5.01	6.03	7.22	5.74	2.96	6.15	5.64	4.96	7.68	14.65	2.46	9.21	0.84	3.78	11.33	9.04	6.65	6.62	2.96	6.2	5.09	7.27	5.85	7.23	6.47	2.05	8.13	0.0	3.65	3.74	2.78	2.59	3.76	3.74	7.8	0.0	0.0
