UniqueID	P0.5 A	P0.5 B	P0.5 C	P1 d	P1 h	P1 i 	P1.5 c	P1.5 d	P1.5 g	P2.5 c	P2.5 g	P2.5 j	P4 a	P4 b	P4 f	P5 a	P5 b	P5 f	P7 a	P7 b	P7 c	P10 d	P10 e	P10 f	P13.5 a	P13.5 b	P13.5 c	P15 a	P15 b	P15 c	P19 c	P19 e	P19 f	P23 d	P23 e	P23 f 	P28c	P28d	P28e
P12265	0.0	0.0	1.25	4.02	2.41	0.0	0.0	1.76	2.82	0.0	0.0	2.09	0.0	3.84	5.87	0.0	3.09	2.46	0.0	6.62	3.95	0.0	3.39	3.64	4.87	1.81	0.0	2.05	2.71	0.0	2.74	1.87	1.85	0.0	0.0	1.87	1.56	1.21	3.26
Q8BH97	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	0.0	0.0	1.1	0.0	0.0	4.6	5.03	4.72	2.06	4.11	1.9	6.62	3.95	4.43	3.39	3.64	2.92	3.62	3.7	4.1	3.61	0.0	0.0	3.74	0.93	0.0	0.0	0.93	0.78	0.0	1.09
Q923D5	4.65	1.25	2.5	1.0	0.0	0.0	0.99	0.0	1.88	0.0	1.1	4.19	0.82	1.53	5.03	1.89	0.0	4.11	0.0	3.31	1.98	0.0	0.0	0.0	0.0	0.9	0.92	0.0	0.0	0.0	0.91	0.0	2.78	0.0	1.5	0.0	0.0	0.0	0.0
B9EKJ7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.91	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P30999	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.92	3.08	0.0	0.0	0.0	0.0	0.93	0.86	0.75	0.0	1.56	0.0	0.0
Q3TJD7	0.0	0.0	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.99	0.0	0.0	0.82	2.3	0.84	4.72	0.0	0.0	0.0	0.0	0.0	0.89	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P99028	0.0	0.0	0.0	2.01	0.0	0.0	1.97	2.64	1.88	3.97	0.0	0.0	3.28	2.3	0.84	0.0	0.0	0.82	0.0	3.31	2.96	0.89	1.7	1.82	0.0	2.71	2.77	2.05	3.61	0.0	1.83	2.81	0.0	3.45	2.25	1.87	2.34	0.0	1.09
Q923D2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	1.87	0.0	5.17	0.0	0.0	0.0	0.0	0.0
Q9JL35	1.16	0.0	0.0	1.0	2.41	2.29	2.96	0.0	1.88	0.0	1.1	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.95	3.31	0.0	0.0	0.0	0.91	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0
Q3TLP8	17.42	19.93	20.03	6.03	24.06	14.91	15.78	16.69	15.05	8.93	23.05	10.46	20.53	12.28	15.93	19.84	18.53	12.32	12.36	8.27	8.89	11.51	11.02	14.54	6.82	6.33	12.93	11.28	14.45	13.92	9.13	9.36	13.9	9.48	11.27	13.08	12.47	20.53	15.21
P10639	2.32	0.0	2.5	2.01	0.0	1.15	4.93	1.76	2.82	0.99	2.19	0.0	0.0	0.0	2.51	2.83	1.03	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0	1.85	2.05	1.81	0.0	0.91	0.94	0.0	2.59	1.5	1.87	3.12	2.42	0.0
P62897	11.62	14.95	10.02	6.03	12.03	13.76	11.83	15.81	18.81	12.9	19.75	13.6	18.88	11.51	25.98	31.18	19.56	18.07	5.7	13.23	17.78	12.39	17.8	10.91	9.74	9.04	12.01	11.28	10.84	8.7	16.44	16.85	16.68	20.68	18.79	17.75	26.5	19.32	24.99
Q9D554	0.0	0.0	1.25	0.0	4.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.77	0.0	1.89	2.06	0.0	0.0	0.0	0.0	0.0	0.85	1.82	1.95	1.81	4.62	5.13	0.9	0.0	0.0	0.0	1.85	0.0	1.5	0.0	0.0	0.0	0.0
Q8BFQ8	2.32	2.49	2.5	2.01	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	2.71	0.0	1.83	3.74	4.63	5.17	1.5	0.93	3.12	0.0	0.0
Q9JJU8	12.78	16.19	20.03	10.04	12.03	10.32	11.83	8.78	13.17	15.88	15.36	6.28	10.67	10.74	15.93	11.34	15.44	13.15	12.36	15.71	9.88	14.16	10.17	11.82	8.77	14.46	16.63	10.26	14.45	6.96	12.78	14.98	18.53	10.34	12.03	12.14	15.59	4.83	4.35
P35564	1.16	2.49	0.0	3.01	0.0	1.15	0.0	3.51	2.82	2.98	1.1	4.19	4.11	2.3	2.51	1.89	0.0	3.29	1.9	0.0	1.98	3.54	3.39	5.45	6.82	5.42	5.54	6.15	3.61	0.0	4.57	1.87	1.85	0.0	2.25	3.74	0.0	0.0	2.17
P35173	2.32	3.74	3.76	3.01	10.83	2.29	4.93	2.64	1.88	1.99	4.39	3.14	0.82	1.53	0.0	0.0	0.0	1.64	6.65	3.31	0.0	8.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P52760	4.65	1.25	5.01	1.0	4.81	4.59	1.97	3.51	3.76	3.97	2.19	0.0	5.75	1.53	3.35	4.72	2.06	4.11	0.0	1.65	1.98	0.0	0.0	0.91	3.9	0.0	1.85	2.05	1.81	0.0	1.83	2.81	0.0	3.45	0.0	0.0	0.78	0.0	0.0
Q99KV1	1.16	3.74	0.0	4.02	0.0	0.0	0.0	0.88	0.0	0.0	0.0	3.14	0.82	0.0	0.0	0.94	0.0	0.0	4.75	0.0	0.99	3.54	0.85	1.82	2.92	2.71	6.47	1.03	0.0	0.0	3.65	1.87	0.0	0.0	0.75	0.0	0.0	0.0	0.0
P47968	9.29	1.25	7.51	4.02	6.02	8.03	2.96	1.76	7.52	3.97	4.39	0.0	4.11	3.07	1.68	2.83	2.06	4.93	3.8	4.13	0.0	1.77	0.0	1.82	0.0	0.0	0.0	0.0	2.71	0.0	0.0	2.81	1.85	2.59	0.0	2.8	1.56	0.0	2.17
Q9DAR7	0.0	2.49	0.0	3.01	2.41	2.29	0.99	0.0	0.0	0.0	0.0	0.0	0.82	0.0	1.68	0.0	2.06	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B9EKB0	0.0	2.49	0.0	3.01	0.0	0.0	0.99	2.64	0.0	0.0	0.0	1.05	0.0	3.84	4.19	0.94	0.0	2.46	1.9	3.31	0.0	0.0	0.0	0.0	0.0	0.0	2.77	0.0	0.0	0.0	4.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
