0.5	170.491374513	823945.873743
1.0	107.437395659	890296.495385
2.0	211.997774068	1385671.56149
3.0	215.19476906	1721826.98488
4.0	170.938230384	1062061.32228
5.0	143.02392877	409255.007218
1.5	46.6393989983	79670.1827104
7.0	189.755147468	701601.534928
8.0	134.093071786	488220.439167
9.0	180.717863105	924307.050616
10.0	124.331803005	638048.786818
11.0	149.860183639	476246.826445
12.0	101.005008347	392014.313497
13.0	90.428491931	238424.517563
14.0	157.480133556	885370.815215
15.0	103.488592098	325244.072908
16.0	53.7318864775	79073.4029065
17.0	69.755703951	140683.578049
18.0	173.894407346	1041876.45922
19.0	108.814691152	360082.765327
20.0	19.6711185309	5339.57965
21.0	108.898720089	677877.108273
22.0	252.99443517	2150538.63102
23.0	49.8925987757	86247.3869068
24.0	98.7539232053	297578.982184
25.0	337.787145242	3860787.78775
26.0	213.499165275	1325933.00042
27.0	213.009460211	1029518.13291
28.0	61.9010851419	131862.751902
11.5	207.217584864	4846240.2014
12.5	145.007679466	758707.640342
6.0	205.069115192	1025112.60791
9.5	150.554257095	558238.555348
13.5	104.508347245	604084.473637
10.5	216.708959377	1191669.7222
4.5	145.199916528	795616.892838
2.5	405.265998887	12898889.2336
3.5	178.754034502	1168160.3947
8.5	48.5258764608	58603.6403154
5.5	135.529632721	946216.934431
7.5	158.385086255	1754249.7304
6.5	177.392320534	1140977.85332
