Gene	E16.5-031	E16.5-032	E16.5-023	E16.5-024	E16.5-095	E16.5-096	E16.5-047	P0.5-a8	P0.5-a9	P0.5b-4.210	P0.54.311	P1-a12	P1-a13	P1b-6.314	p1b-6.215	P1.5-a16	P1.5-a17	P1.5-a18	P1.5-a19	P2-a20	P2-a21	p2-b22	P2b-5.123	P2b-6.124	P2.5-a25	P2.5-b26	p2.5b-427	P2.5b-528	P3-a29	P3-a30	P3-b31	P3b-5.732	P3b-533	P3.5-a34	P3.5-b35	P3.5b-5.936	P3.5b-5.437	P4-a38	P4-a39	P4b-6.340	P4b-7.341	P4.5-a42	P4.5-b43	P4.5b-6.344	P4.5b-5.545	P5-a46	P5-b47	P5b-2.748	P5b-2.849	P5.5-a50	P5.5-a51	p5.5b-7.952	P5.5b-9.153	P6-a54	P6b-7.255	P6b-8.756	P6c-6.557	P6.5-a58	P6.5-a59	P6.5b-6.360	p6.5b-4.461	P7-c62	P7-c63	P7-a64	P7b-7.765	P7b-8.366	P7.5b-8.767	P7.5b-968	P8-a69	P8-a70	P8b-6.371	P8b-72	P8.5-a73	P8.5-b74	P8.5b-9.175	P8.5b-9.376	P9-a77	P9-a78	P9b-10.379	P9b-1080	P9.5-a81	P9.5-a82	P9.5b-8.283	P9.5b-1084	P10-a85	P10-a86	P10b-6.787	P10b-6.688	P10.5-a89	P10.5c-10.590	P10.5b10.191	P10.5b-6.892	P11-a93	P11-a94	P11b-6.495	P11b-9.296	P11.5-a97	P11.5-a98	P11.5b-6.199	P11.5b-5.5100	P12-a101	P12-a102	P12b-6103	P12b-5.2104	P12.5-a105	P12.5-a106	P12.5b-11.3107	P12.5b-10.8108	P13-b109	P13-b110	P13c-6.1111	P13b-8112	P13.5-b113	P13.5b-6.5114	P13.5b-5115	P14-a116	P14-a117	P14b-5118	P14b-5119	P15-a120	P15-a121	P15c-11.8122	P15b-6.1123	P16-a124	P16-a125	P16c-11.2126	P16b-7127	P17-a128	P17-a129	P17b-9.7130	P17b-12131	P18-a132	P18-a133	P18b-8.6134	P18b-10.2135	P19-a136	P19-a137	p19c-8138	P19b-5.3139	P20-a140	P20c-9.2141	P20c-9.2142	P21-a143	P21b-7.1144	P21b-4145	P21c-10146	P22-a147	P22-a148	P22b-5.2149	p22b-6.1150	P23-a151	P23-a152	P23b-5153	P23b-3.5154	P24-a155	P24-a156	P24b-12.4157	P24c-8158	P25-a159	P25-a160	P25b-11161	P25b-11.1162	P26-a163	P26-a164	P26b-8.2165	P26b-7.6166	P27-a167	P27-a168	p27b-7.6169	P27b-8.1170	P28b-8.3171	P28c-8.4172	P28c-9.2173	p28b-7.3174
AMACR	1	2.95	1.87	2.49	1.85	3.29	1.85	5.02	25.43	33.37	12.39	2.75	29.65	15.33	4.96	2.41	4.45	2.41	4.45	5.03	10.53	5.72	1.25	8.55	3.31	2.51	8.9	2.55	25.49	24.85	10.51	6.85	5.54	22.77	1.43	3.6	28.39	2.28	1.56	11.58	3.04	13.28	7.48	6.96	2.55	5.3	6.27	16.02	4.24	2.09	10.97	17.56	8.05	3.17	3.68	11.43	2.29	8.83	12.18	3.58	4.71	9.46	12.58	12.85	6.73	2.4	4.09	42.57	15.79	3.4	6.31	7.5	3.39	16.15	49.65	1.93	8.26	7.91	10.22	7.46	18.62	3.79	5.2	630.51	5.47	28.62	21.84	18.24	34.74	7.99	50.47	163.66	9.35	16.24	6.52	2.88	3.1	5.09	4.46	10.89	1.46	2.65	7.16	2.6	2.31	4.8	8.87	3.59	20.61	6.42	5.69	4.85	3.93	3.8	44.11	2.21	9.88	1.14	9.79	7.56	3.79	7.11	4.33	11.4	8.62	8.51	2.52	2.41	38.68	6.79	5.5	1.81	4.7	4.13	3.66	7.28	5.67	6.89	6.19	3.02	6.56	16.52	1.58	4.1	6.62	1.19	5.48	4.69	4.05	6.16	17.59	5.56	3.39	1.74	5.77	4.95	3.93	2.18	3.41	2.53	8.38	5.39	2.86	2.28	4.37	4.98	2.6	3.61	9.98	3.4	6.7	8	6.63	5.38
Aqp5(Aquaporin)	3.01	3.37	4.48	5.12	3.7	4.62	3.44	117.93	137.32	317.04	297.42	158.92	142.31	245.33	208.39	141.26	160.07	141.26	160.07	110.02	73.69	128.76	398.66	393.39	132.25	161.84	352.86	496.98	152.93	157.37	87.62	376.72	254.88	56.92	136.22	380.54	681.43	110.31	106	410.09	458.62	146.07	190.63	447.45	435.79	74.16	153.63	352.4	352.15	255.08	290.59	373.19	370.51	129	508.37	512.56	204.14	203.03	259.85	310	424.02	236.61	243.31	154.23	457.51	403.26	470.66	425.69	181.54	244.71	359.5	363.82	356.04	415.09	1042.62	866.47	252.44	268.84	654.14	561.27	254.41	288.07	655.23	630.51	196.76	223.23	655.06	620.26	162.11	369.82	353.27	818.33	374.01	268.03	423.82	454.89	322.65	251.89	504.18	576.96	216.74	191.1	651.31	682.75	259.02	239.76	607.29	615.57	371.01	279.09	554.98	467.84	262.15	641.7	573.48	166.01	187.69	484.11	373.81	272.08	304.72	713.32	620.78	518.88	508.59	708.66	679.23	185.6	193.39	513.18	596.1	221	237.51	533.25	569.48	229.26	223.19	506.33	494.94	332.88	637.72	908.74	265.97	674.95	440.08	638.09	287.92	247.53	474.81	535.59	309.53	314.24	631.28	782.49	395.7	368.78	678.17	692.74	307.27	260.72	660.38	700.44	243.29	226.75	650.07	597.22	213.91	181.58	614.69	568.12	685.19	718.4	680.88	666.93
ATP1B1	356.96	369.95	435.49	478.37	537.35	542.02	557.5	198.22	330.6	1218.1	1350.79	330.34	326.13	1011.97	1190.78	544.71	217.87	544.71	217.87	242.33	140.35	123.04	409.94	525.94	112.42	196.97	692.37	754.4	159.31	49.7	150.7	530.83	465.44	91.07	88.18	401.54	198.75	109.43	116.04	359.12	276.39	96.28	59.81	280.53	442.18	52.97	103.46	240.27	352.15	119.18	57.57	373.19	310.1	100.96	184.19	304.87	414.58	75.91	77.14	254.45	325.08	85.18	96.48	123.38	154.75	396.06	286.49	170.28	126.29	125.09	233.36	288.81	94.94	85.6	248.24	410.03	128.58	94.89	224.86	578.06	68.26	64.44	218.41	630.51	43.73	91.58	349.37	346.62	162.11	398.06	252.33	163.66	102.85	64.98	306.45	443.37	65.15	75.06	254.32	440.89	92	95.96	485.5	567.23	94.82	71.93	437.12	526.31	41.22	109.07	522	465.15	136.41	564.34	397.02	61.98	102.08	481.83	540.16	133.52	134.03	471.48	448.98	176.76	129.3	397.95	496.85	186.21	127.08	115.44	195.56	220.4	256.82	564.25	761.51	181.96	181.58	1036.76	807.37	264.61	1228.4	908.74	146.79	592.97	542.65	853.16	202	250.34	554.22	1015.77	112.56	155.73	468.37	538.51	221.99	188.93	847.87	1096.84	191.86	182.62	572.82	615.13	238.14	302.58	1108.94	1060.07	217.04	167.13	763.58	565.86	1450.83	988.89	943.19	1274.69
b2m	953.6	1063.53	776.76	849.45	627.76	578	605.68	657.39	457.75	1868.86	1226.87	644.22	260.9	2008.61	1815.94	490.96	380.17	490.96	380.17	693.19	747.39	477.85	1535.71	1594.93	717.48	575.85	1742.05	1475.66	471.54	596.35	683.4	1657.57	1872.83	643.2	696.16	1780.23	1334.47	910.55	890.86	1837.32	1773.75	820	672.83	1803.73	1983.19	434.34	1332.48	3243.7	3366.66	1003.61	907.41	1839.59	1872.69	1276.57	1749.82	1930.19	2711.07	1648.93	1323.61	1750.69	1559.46	771.34	763.49	1102.74	4359.83	3953.39	2128.21	2298.73	738.01	764.17	1847.97	1552.81	886.7	1219.42	2681.03	2560.73	892.97	782.8	1880.65	2213.8	719.8	674.69	2251.69	630.51	737.87	887.18	2336.39	2170.91	845.27	2450.71	2371.93	818.33	729.32	690.39	2353.82	2461.57	750.77	975.75	3538.21	2971.9	1054.24	994.1	2465.69	2720.62	874.21	738.47	2664.64	2740.82	906.92	1045.78	2888.63	2446.88	1190.62	2892.72	1985.11	949.56	961.48	2404.57	2610.78	1242	1406.02	3712.9	3544.23	1664.96	1379.22	3251.73	3360.95	1807.16	1364.78	4598.26	4554.36	1799.31	1830.13	4808.55	5285.1	1794.09	1944.41	3892.17	4796.25	1295.87	4452.01	4262.82	1790.73	5417.33	5724.3	4792.19	1606.84	1743.01	4037.54	8489.37	1382.33	2342.93	4744.78	4965.07	2033.08	2163.17	5268.07	4497.36	2325.19	2436.2	5118.14	5249.73	2463.25	2532.89	5974.09	6132.33	2331.18	2534.49	6603.55	6613.37	5319.25	5501.43	5377.88	5650.94
BCL2A1	56.5	75.08	62.13	76.04	51.84	51.7	47.91	107.89	96.64	483.9	309.82	93.34	177.89	352.66	243.12	121.97	106.71	121.97	106.71	169.7	221.06	151.65	315.92	401.94	155.4	102.25	370.65	275.25	89.21	107.68	203.27	376.72	437.73	108.15	103.24	298.91	298.13	80.32	88.37	278.03	306.76	59.76	85.97	227.2	186.83	21.19	75.25	200.23	173.95	62.73	57.57	228.3	298.02	99.74	213.66	179.11	263.04	51.2	77.14	172.02	216.72	85.18	75.51	66.83	235.48	316.85	192.36	42.57	114.45	84.83	290.13	228.8	64.43	51.68	248.24	146.99	70.78	67.21	163.53	147.9	55.85	94.76	223.61	1261.02	54.66	91.58	87.34	237.16	57.9	215.28	353.27	163.66	65.45	81.22	136.93	190.02	49.64	76.33	272.17	190.51	94.38	115.19	211.14	244.03	76.32	43.16	190.33	220.07	61.84	99.45	241.1	267.03	59.5	185.15	176.45	81.9	115.25	215.79	213.32	73.06	101.15	270.29	196.34	119.74	120.68	246.86	225.15	93.26	110.51	157.16	161.79	85.51	87.17	233.56	252.86	94.62	119.16	177.96	170.13	112.37	252.68	297.41	104.18	270.52	277.94	283.99	118.82	95.64	205.81	252.4	151.25	140.44	322.43	310.21	94.46	108.08	206.4	248.34	175.79	157.3	264.52	285.57	149.41	146.36	331.04	321.84	120.75	118.8	398.43	371.95	331.2	254.49	257.58	369.32
C/EBP	20.96	22.31	23.88	24.47	23.14	30.91	29.91	10.04	15.26	50.06	99.14	17.39	35.58	15.33	64.5	14.13	6.67	14.13	6.67	9.35	10.53	14.31	55.16	51.31	9.92	14.43	63.75	79.01	6.37	8.28	3.5	20.55	38.79	5.69	8.24	37.81	85.18	11.05	11.16	20.85	33.41	9.96	6.23	39.41	43.41	10.59	9.41	56.06	36.06	2.09	8.22	65.86	52.35	10.97	51.57	47.64	34.88	12.36	8.12	14.34	28.27	14.2	4.19	2.57	20.18	40.81	40.93	85.14	15.79	25.91	50.46	56.26	6.78	25.84	198.6	75.43	14.16	7.91	40.88	46.66	6.21	3.79	36.4	630.51	5.47	17.17	43.67	36.49	11.58	47.43	50.47	163.66	9.35	8.12	52.16	51.82	6.2	1.27	17.85	38.1	7.86	10.44	54.87	49.32	9.25	4.8	31.45	36.42	20.61	6.42	34.12	32.3	6.74	25.36	88.23	8.85	16.46	37.68	39.14	10.08	7.59	29.47	38.98	11.4	8.62	63.84	38.99	13.58	5.53	31.04	38.48	12.04	15.14	28.94	33.71	7.28	5.67	21.81	51.04	9.67	43.75	24.78	11.84	45.09	36.4	41.59	6.4	15	33.22	67.72	7.03	4.17	27.15	64.48	7.87	15.68	35.38	32.68	8.77	11.57	44.71	35.02	10.3	14.41	32.78	37.33	10.41	7.68	46.58	32.89	53.63	41.45	39.77	30.48
CD38	83.13	70.87	93.29	87.52	112.31	147.99	133.77	42.66	61.03	166.86	198.28	63.75	100.8	92	59.54	95.78	46.69	95.78	46.69	61.12	49.12	51.51	231.92	209.52	33.06	49.56	207.56	239.57	31.86	66.26	17.52	154.11	116.36	39.84	58.79	186.67	411.7	67.17	65.83	162.18	218.68	69.72	48.59	150.7	231.51	31.78	56.43	208.24	205.78	69	60.31	228.3	241.64	62.67	232.08	272.47	252.75	45.9	48.72	216.82	235.57	85.18	75.51	28.28	141.29	189.63	356.07	212.84	82.88	119.76	353.2	356.32	88.16	151.82	744.73	512.53	100.27	138.37	439.5	465.16	37.23	72.02	421.22	630.51	87.45	85.86	305.7	346.62	138.95	456.14	201.87	163.66	74.8	105.59	515.1	457.77	80.66	94.14	419.41	435.44	104.62	102.43	355.48	351.76	104.07	153.45	379.05	402.69	133.98	121.9	330.94	464.07	131.36	413.43	308.8	99.6	118.54	342.53	367.94	167.53	189.66	341.42	433.1	182.46	232.74	434.13	553.45	179.57	176.81	472.44	497.92	127.66	146.16	532.22	691.88	149.2	138.08	549.95	678.99	123.24	285.5	297.41	202.83	532.85	542.65	483.62	118.82	108.76	358.14	824.93	140.7	205.79	346.19	390.37	156.39	183.98	351.2	287.55	127.09	143.2	469.43	505.58	133.38	110.72	228.34	237.23	93.16	93.95	313.58	306.17	240.02	432.64	384.47	238.44
CD68	25.94	25.68	26.87	29.17	30.86	30.02	25.32	40.15	30.52	133.49	99.14	35.08	35.58	122.66	109.15	41.34	48.91	41.34	48.91	74.78	77.19	91.56	194.31	235.18	46.29	56.46	219.42	188.6	114.7	74.54	42.06	198.63	205.01	39.84	50.9	172.86	241.34	58.93	56.24	127.43	103.27	46.48	33.64	102.01	78.31	47.67	25.08	48.05	106.07	41.82	41.12	140.49	124.85	51.45	176.82	120.04	132.09	37.07	56.84	132.6	202.59	42.59	29.36	46.27	94.19	184.83	106.41	127.71	39.47	43.82	138.76	123.77	42.39	25.84	49.65	116.05	28.31	43.49	132.87	126.44	24.82	49.27	98.8	630.51	32.79	40.07	152.85	255.4	46.32	128.42	201.87	163.66	28.05	32.49	163.01	146.83	27.92	34.35	124.93	146.96	64.2	68.12	124.06	128.5	39.32	43.16	105.65	129.27	72.14	22.46	169.45	143.74	34.8	123.01	44.11	66.4	62.56	159.85	146.78	35.27	60.69	178.84	186.23	51.32	51.72	191.53	162.26	52.51	38.68	100.89	102.1	46.37	50.11	135.38	112.87	61.87	60.53	143.52	133.01	54.98	177.21	165.23	71.03	285.55	287.87	291.12	47.53	63.76	140.99	203.15	63.31	86.21	251.15	237.01	79.24	61.88	207.05	178.63	108.59	94.74	229.13	237.07	95.6	73.56	193.38	179.17	74.43	81.76	276.15	368.54	256.11	207.23	224.43	283.26
Cdh11	1407.6	1527.64	2245	2088.38	2128.27	2289.16	2132.84	524.41	345.85	1351.59	1326.01	265.98	160.1	751.31	610.28	501.65	366.83	501.65	366.83	503.35	628.09	403.46	1737.54	1488.03	486.03	512.49	1790.97	2079.69	414.19	273.33	518.69	1900.72	1689.98	757.04	794.74	2209.39	2115.27	641.52	623.07	2041.2	1849.68	753.6	970.61	2459.84	2963.3	524.39	805.76	2106.4	2390.82	455.81	498.94	2594.74	2710.36	769.11	1852.96	1945.43	2383.41	632.03	604.96	2497.92	2586.53	582.05	583.1	619.49	2146.27	2385.96	2746.21	2000.74	734.07	744.33	2857.1	2636.77	474.71	423.16	1638.41	1845.12	608.69	604.89	1982.86	1988.92	707.39	746.7	2132.08	630.51	327.94	457.9	1637.65	1495.92	544.22	2038.8	2018.66	818.33	252.46	292.4	971.52	1214.95	269.91	422.36	1191.3	1464.18	405.31	469.21	1436.23	1675.73	360.78	369.23	1343.61	1530.72	267.95	224.55	1638.79	1266.24	264.96	967.62	617.59	407.27	507.08	1797.15	1640.06	240.59	269.32	1215.28	1068.32	273.69	206.88	1134.28	1133.31	309.95	215.49	1043.82	929.88	278.21	308.5	805.04	757.11	185.6	230.76	617.69	573.82	276.09	634.44	545.24	209.93	699.54	641.92	736.71	184.63	208.15	844.29	584.84	144.21	239.16	906.19	916.68	208.87	214.5	461.28	542.43	223.51	203.23	587.72	553.17	204.36	187.31	335.41	336.77	150.94	173	612.19	530.7	368.74	401.37	518.94	313.74
Chi3l1	3.24	4.77	6.9	5.25	2.78	2.84	3.18	155.57	81.38	734.2	1078.16	527.7	77.08	1533.29	1964.79	201.55	77.81	201.55	77.81	291.22	150.88	197.44	2228.97	2480.05	175.24	383.27	1933.3	1921.67	229.4	198.78	168.22	2147.3	1922.7	113.84	435.55	1756.23	1476.43	486.66	447.21	1269.67	1418.39	152.71	183.16	1147.61	1185.66	63.56	147.36	969.11	1069.18	244.63	186.42	1049.31	1288.73	503.8	839.91	1112.76	2199.28	120.05	138.04	1420.98	2096.55	241.34	213.94	298.18	1419.64	1776.27	1150.05	1234.5	209.17	408.14	1438.01	1267.75	227.18	255.19	2134.9	1800.63	285.47	189.77	1154.96	1555.49	161.33	94.76	1752.47	630.51	131.18	183.16	1834.17	1605.38	92.63	1485.67	1917.73	818.33	84.15	121.83	1375.78	1442.39	80.66	217.54	1829.34	2095.57	1283.79	1052.11	1180.95	1283.73	240.52	210.99	1595.24	1678.97	92.75	413.82	2494	1941.36	387.89	1791.94	970.5	199.21	253.54	2431.97	1931.67	421.98	479.21	2143	2252.14	188.16	163.78	2049.36	2304.36	752.38	215.49	747.94	959.72	704.55	761.07	2081.33	2409.11	309.33	469.08	2756.66	1736.92	1500.07	3171.1	3593.66	722.13	4736.92	3782.01	4792.19	894.82	926.35	2207.97	3576.74	460.78	789.78	2806.82	3046.31	1023.88	852.23	3125.46	2961.57	1180.85	1545.91	3150.99	3620.75	909.62	807.64	4647.73	4497.43	1202.28	738.98	5084.71	4752.51	5633.01	4466.73	4381.66	6079.42
Chi3l3/Chi3l4	4.17	9.82	5.41	4.7	2.93	4.89	3.44	65.24	45.77	116.8	74.36	24.4	83.01	46	124.04	48.58	28.9	48.58	28.9	46.74	59.65	20.03	42.62	68.42	59.51	23.84	62.27	45.88	31.86	74.54	45.56	41.1	55.41	51.23	27.6	52.22	56.79	11.22	7.81	9.27	18.22	26.56	16.2	27.82	25.11	21.19	15.68	64.07	23.34	12.55	21.93	39.51	40.27	29.02	29.47	34.3	40.03	26.48	40.6	53.76	42.4	23.66	16.78	43.7	107.65	156.02	49.11	42.57	126.29	40.27	151.37	97.52	83.07	19.38	49.65	56.09	58.98	399.31	715.46	376.98	62.05	41.69	598.02	630.51	180.37	274.74	1048.1	1769.57	92.63	114.57	403.73	163.66	74.8	170.57	528.14	382.91	24.82	43.25	468.49	272.15	761.42	824.38	214.72	216.77	356.16	234.97	161.3	219.04	298.87	1623.2	3093.34	240.65	96.55	792.61	573.48	135.02	121.83	809.52	882.66	105.81	122.65	1081.15	1202.58	228.08	215.5	610.76	316.98	569.79	176.81	165.89	153.93	371.54	300.15	441.27	351.8	695.07	854.93	541.92	457.82	322	1624.38	1503.55	484.58	711.84	761.03	969.61	459.75	529.75	432.68	412.46	432.64	615.98	729.71	787.72	412.49	434.78	862.29	963.95	804.44	715.28	687.39	766.9	619.96	696.17	1042.3	967.17	538.16	369.04	1141.21	1132.84	1418.65	908.91	1086.18	1744.41
Claudin 1	76.65	102.73	148.71	159.96	149.19	141.06	123.09	45.16	50.86	183.55	148.71	28.37	59.3	92	104.19	47.55	51.13	47.55	51.13	43.86	49.12	34.34	66.44	94.07	23.14	25.72	108.23	122.33	44.61	24.85	49.06	61.65	72.03	34.15	12.91	48.62	42.59	18.41	18.08	39.39	57.71	29.88	7.48	41.73	46.39	31.78	15.68	24.03	59.4	14.64	27.41	35.12	40.27	15.12	40.52	22.87	42.32	17.65	4.06	43.01	37.69	28.39	37.75	25.7	13.46	57.61	45.02	42.57	31.57	11.84	50.46	33.76	13.56	8.08	49.65	29.01	10.62	31.63	61.33	42.46	6.21	18.95	57.2	630.51	27.33	28.62	109.18	127.7	57.9	51.16	50.47	163.66	18.7	16.24	45.64	80.61	18.61	22.9	53.54	59.87	16.46	20.05	59.64	73.99	25.44	33.57	72.58	87.72	30.92	28.87	105.76	72.68	27.51	45.65	132.34	30.99	52.68	90.2	109.6	23.93	18.97	38.61	69.3	17.11	8.62	29.79	55.35	21.13	27.63	44.62	41.62	25.89	19.84	55.81	64.5	25.47	26.48	90.7	85.07	25.37	78.76	33.05	18.15	45.09	36.4	57.04	24.68	26.25	55.1	30.78	28.14	11.12	27.15	36.6	17.32	22.28	47.83	56.64	18.5	15.91	27.94	28.74	21.18	24.27	45.89	38.16	18.74	17.16	44.08	34.02	36.2	45.08	46.4	30.48
Claudin 3	63.8	42.38	80.42	94.84	78.22	162.11	110.03	87.82	86.46	166.86	334.6	68.33	65.23	229.99	158.77	75.45	95.6	75.45	95.6	49.62	87.72	42.92	194.31	158.21	29.76	84.68	161.6	158.02	57.35	82.83	28.04	126.71	88.65	45.54	32.98	115.24	99.38	53.66	47.98	157.55	100.23	36.52	33.64	139.1	156.61	31.78	40.76	112.13	63.64	79.45	21.93	74.64	76.52	32.43	165.77	123.85	92.07	40.61	60.9	100.35	65.96	52.05	41.95	64.26	80.74	108.02	69.58	42.57	27.63	48.7	81.99	82.52	57.64	53.3	397.19	141.19	55.44	59.3	81.77	104.04	31.03	37.9	135.21	630.51	38.26	17.17	196.52	91.21	46.32	86.86	50.47	163.66	37.4	81.22	110.84	63.34	37.23	24.17	66.93	108.86	35.48	27.02	65.61	101.24	43.94	62.34	73.39	84.64	30.92	19.25	71.65	112.52	57.26	72.29	220.57	50.91	46.1	97.05	111.56	41.57	42.99	43.69	83.73	51.32	25.86	100.02	88.05	46.17	38.68	60.15	73.04	31.31	48.02	65.11	103.34	32.75	45.39	163.03	92.8	73.7	74.38	107.4	38.67	68.31	29.78	74.86	37.47	32.82	124.78	49.25	49.24	30.59	115.4	88.88	41.46	31.35	91.08	174.27	43.83	33.63	127.6	94.29	37.78	45.5	92.87	109.49	40.6	28.91	88.17	69.17	115.32	146.88	86.17	48.41
Claudin 7	42.84	50.8	72.02	77.98	83	117.96	86.65	57.71	40.69	200.24	111.53	59.18	53.37	76.66	129	59.26	60.03	59.26	60.03	41.71	66.67	54.37	135.39	111.17	36.37	52.06	133.43	132.53	70.09	74.54	49.06	150.69	94.2	45.54	43.02	141.65	198.75	56.82	52.44	99.63	112.38	56.44	48.59	102.01	106.82	31.78	53.3	64.07	116.68	100.36	93.21	140.49	108.74	37.07	162.09	142.91	62.33	40.61	32.48	75.26	75.38	75.71	62.92	66.83	94.19	88.81	94.13	42.57	31.57	92.67	138.76	138.78	84.77	116.29	397.19	193.41	66.06	94.89	132.87	195.95	49.64	41.69	135.21	630.51	120.24	51.51	283.86	91.21	104.21	87.93	201.87	163.66	37.4	73.1	52.16	126.68	83.76	41.98	93.7	92.53	53.41	47.24	76.34	94.75	50.88	76.72	84.68	67.2	51.53	44.91	70.51	89.37	67.92	87.5	88.23	42.06	49.39	73.07	82.2	42.83	54.37	84.34	98.17	68.42	86.2	72.36	99.37	38.63	77.36	72.76	80.11	38.54	31.32	73.37	76.22	29.11	39.72	110.22	77.33	53.77	70.01	107.4	44.99	64.22	62.87	67.73	35.65	40.32	87.51	80.03	63.31	58.4	74.67	87.14	63.5	61.88	85.18	111.1	37.98	36.88	87.55	79.92	48.66	40.95	79.76	77.14	33.31	32.52	61.55	68.04	69.73	94.53	90.91	75.3
Claudin5	109.76	108.49	132.1	143.93	170.32	200.75	165.89	567.06	381.46	400.47	644.42	400.8	367.64	168.66	441.58	472.7	446.86	472.7	446.86	379.67	371.94	251.8	729.62	624.29	651.35	761.53	1065.99	1468.02	516.15	447.27	392.52	962.35	609.5	461.06	638.8	1062.38	809.2	500.17	542.73	658	543.66	866.48	776.24	1098.93	1461.43	476.72	445.21	600.69	627.93	1204.33	1074.63	952.72	1107.5	582.08	1241.45	1577.69	902.35	672.64	633.38	756.19	848.04	728.75	797.05	606.63	915.03	1022.55	1031.36	510.83	1081.37	1201.03	1141.58	1211.49	1576.73	1660.35	2234.19	3440.74	1295.23	933.04	2044.19	1693.59	570.87	697.43	1638.06	630.51	420.86	503.69	1157.28	1167.55	706.32	2095.28	807.46	1309.32	1112.68	1315.8	1943.04	2055.63	604.96	898.14	2052.43	1741.77	837.51	832.17	1666.46	1675.73	774.76	772.03	1315.39	1230.11	865.7	984.83	1422.71	1753.47	967.21	1336.66	661.7	531.22	691.48	1404.38	1097.94	1257.12	1604.53	1060.83	1473.99	1071.96	1025.79	966.16	2228.89	971.48	817.76	1959.6	1813.42	603.38	782.48	1605.95	2503.66	451.25	556.09	1080.39	1586.89	1083.82	835.71	751.78	819.21	1548	1131.63	903.06	695.57	722.89	1107.63	720.27	573.33	707.75	875.65	1029.96	945.69	972.69	1011.68	688.38	546.36	658.14	1221.09	1156.63	617.1	746.22	641.33	695.93	645.9	641.86	840.1	656.57	724.07	1091.41	1009.48	672.3
Col1a1	1908.37	1368.35	2550.81	2906.72	3818.85	2571.99	2358.56	479.24	452.66	1752.06	1586.25	602.73	314.27	1395.3	1701.82	772.45	486.88	772.45	486.88	605.46	768.44	354.81	1975.74	1325.55	657.96	808.57	2305.44	3308.13	936.72	1118.17	571.26	2828.82	1872.83	1013.18	1140.66	3600.08	3052.24	1555.57	1665	2708.48	2955.23	710.45	1173.71	3252.73	3367.6	577.36	981.33	2723.11	2959.35	1762.59	1384.41	2313.75	2504.97	702.54	3050.21	3174.43	2086.05	783.86	844.51	2582.14	2723.16	795	889.34	1138.72	2455.77	2546.78	2938.57	3362.95	1176.09	1074.45	3405.82	3154.38	1169.83	967.46	3376.12	3462.01	1161.93	1012.11	3781.74	3986.25	1247.23	1436.55	3270.93	630.51	1109.53	1224.88	2685.75	3393.19	1030.54	3075.78	4390.59	2945.97	832.17	771.61	2842.84	3198.6	918.3	1020.27	3190.19	2808.61	926.94	856.37	2927.34	3333.28	1123.98	906.3	2486.41	2640.79	360.71	593.46	1970.87	3126.84	843.71	2625.14	1367.52	754.78	925.26	2217.32	3053.09	518.97	543.69	1898.11	1998.05	433.35	387.9	1519.46	1838.96	361.55	337.05	1680.21	1635.14	288.44	424.38	1032.4	1045.15	240.18	321.55	2153.89	920.27	402.96	1206.53	1429.2	303.85	903.12	956.26	1149.03	471.63	422.86	1365.29	978.83	256.77	297.56	919.77	895.77	335.35	373.73	640.82	857.21	296.07	240.11	976.13	849.51	285.65	323.82	666.46	640.36	280.01	244.37	588.07	536.37	949.34	658.05	580.5	865.93
Ctnna2	11.35	17.4	12.13	11.34	9.57	8.44	7.85	17.56	20.34	16.69	24.79	7.02	29.65	15.33	14.88	5.17	6.67	5.17	6.67	9.35	21.05	11.45	8.78	21.38	23.14	3.76	2.97	10.19	12.74	8.28	7.01	20.55	33.25	5.69	3.23	7.2	14.2	6.31	3.57	11.58	15.19	23.24	11.21	9.27	6.81	21.19	21.95	24.03	8.49	6.27	13.71	13.17	8.05	1.95	22.1	11.43	7.43	5.3	8.12	21.5	14.13	9.46	4.19	7.71	33.64	14.4	16.37	42.57	11.84	5.33	6.31	11.25	10.17	12.92	148.95	13.54	7.08	7.91	10.22	13.53	12.41	3.79	26	630.51	10.93	11.45	21.84	72.97	23.16	7.46	50.47	163.66	37.4	24.37	19.56	17.27	12.41	3.82	8.92	5.44	2.93	3.48	13.12	7.79	6.94	4.8	4.03	9.23	41.22	9.62	6.82	10.23	5.61	10.15	44.11	8.85	26.34	4.57	17.61	10.08	16.44	16.26	1.44	22.81	17.24	10.64	5.03	4.23	11.05	4.85	6.28	5.42	5.22	5.17	5.86	21.83	9.46	2.3	7.73	7.85	13.13	24.78	5.52	9.56	6.62	2.38	10.05	6.56	4.05	6.16	24.62	8.34	16.97	15.68	5.25	9.08	6.55	1.09	4.87	3.62	8.38	7.18	3.43	8.34	14.2	9.95	3.64	2.71	3.33	9.07	9.39	7.27	12.31	1.79
