Experiment Names	time inclusive
E16.5-031	-4.5
E16.5-032	-4.5
E16.5-023	-4.5
E16.5-024	-4.5
E16.5-095	-4.5
E16.5-096	-4.5
E16.5-047	-4.5
P0.5-a8	0.5
P0.5-a9	0.5
P0.5b-4.210	0.5
P0.54.311	0.5
P1-a12	1
P1-a13	1
P1b-6.314	1
p1b-6.215	1
P1.5-a16	1.5
P1.5-a17	1.5
P1.5-a18	1.5
P1.5-a19	1.5
P2-a20	2
P2-a21	2
p2-b22	2
P2b-5.123	2
P2b-6.124	2
P2.5-a25	2.5
P2.5-b26	2.5
p2.5b-427	2.5
P2.5b-528	2.5
P3-a29	3
P3-a30	3
P3-b31	3
P3b-5.732	3
P3b-533	3
P3.5-a34	3.5
P3.5-b35	3.5
P3.5b-5.936	3.5
P3.5b-5.437	3.5
P4-a38	4
P4-a39	4
P4b-6.340	4
P4b-7.341	4
P4.5-a42	4.5
P4.5-b43	4.5
P4.5b-6.344	4.5
P4.5b-5.545	4.5
P5-a46	5
P5-b47	5
P5b-2.748	5
P5b-2.849	5
P5.5-a50	5.5
P5.5-a51	5.5
p5.5b-7.952	5.5
P5.5b-9.153	5.5
P6-a54	6
P6b-7.255	6
P6b-8.756	6
P6c-6.557	6
P6.5-a58	6.5
P6.5-a59	6.5
P6.5b-6.360	6.5
p6.5b-4.461	6.5
P7-c62	7
P7-c63	7
P7-a64	7
P7b-7.765	7
P7b-8.366	7
P7.5b-8.767	7.5
P7.5b-968	7.5
P8-a69	8
P8-a70	8
P8b-6.371	8
P8b-72	8
P8.5-a73	8.5
P8.5-b74	8.5
P8.5b-9.175	8.5
P8.5b-9.376	8.5
P9-a77	9
P9-a78	9
P9b-10.379	9
P9b-1080	9
P9.5-a81	9.5
P9.5-a82	9.5
P9.5b-8.283	9.5
P9.5b-1084	9.5
P10-a85	10
P10-a86	10
P10b-6.787	10
P10b-6.688	10
P10.5-a89	10.5
P10.5c-10.590	10.5
P10.5b10.191	10.5
P10.5b-6.892	10.5
P11-a93	11
P11-a94	11
P11b-6.495	11
P11b-9.296	11
P11.5-a97	11.5
P11.5-a98	11.5
P11.5b-6.199	11.5
P11.5b-5.5100	11.5
P12-a101	12
P12-a102	12
P12b-6103	12
P12b-5.2104	12
P12.5-a105	12.5
P12.5-a106	12.5
P12.5b-11.3107	12.5
P12.5b-10.8108	12.5
P13-b109	13
P13-b110	13
P13c-6.1111	13
P13b-8112	13
P13.5-b113	13.5
P13.5b-6.5114	13.5
P13.5b-5115	13.5
P14-a116	14
P14-a117	14
P14b-5118	14
P14b-5119	14
P15-a120	15
P15-a121	15
P15c-11.8122	15
P15b-6.1123	15
P16-a124	16
P16-a125	16
P16c-11.2126	16
P16b-7127	16
P17-a128	17
P17-a129	17
P17b-9.7130	17
P17b-12131	17
P18-a132	18
P18-a133	18
P18b-8.6134	18
P18b-10.2135	18
P19-a136	19
P19-a137	19
p19c-8138	19
P19b-5.3139	19
P20-a140	20
P20c-9.2141	20
P20c-9.2142	20
P21-a143	21
P21b-7.1144	21
P21b-4145	21
P21c-10146	21
P22-a147	22
P22-a148	22
P22b-5.2149	22
p22b-6.1150	22
P23-a151	23
P23-a152	23
P23b-5153	23
P23b-3.5154	23
P24-a155	24
P24-a156	24
P24b-12.4157	24
P24c-8158	24
P25-a159	25
P25-a160	25
P25b-11161	25
P25b-11.1162	25
P26-a163	26
P26-a164	26
P26b-8.2165	26
P26b-7.6166	26
P27-a167	27
P27-a168	27
p27b-7.6169	27
P27b-8.1170	27
P28b-8.3171	28
P28c-8.4172	28
P28c-9.2173	28
p28b-7.3174	28
